Name,Component,DataType,Post Blackout,Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13
MIBI3-_MIBIT1_1,Line,Loading,0,0,0,0,0,0,0,1.053664528,0.812548337,0.533945768,0.528443121,0.533948066,0.526810967,0.527385997,0.524447895
LAHO3A_LAHOT1_1,Line,Loading,0,0,0,0,0,0,0,0,1.611146419,1.101189793,0.690027855,0.698554355,0.687817019,0.688703623,0.427109539
GRNA3B_GRNAT2_1,Line,Loading,0,0,0,0,0,0,0,0,0,1.509193841,1.104869038,0.742238261,0.731776078,0.732914416,0.489626607
LAHO3B_LAHOT2_1,Line,Loading,0,0,0,0,0,0,0,0,0,0,2.22E-09,2.22E-09,2.22E-09,2.22E-09,0.251081349
LOBI3A_LOBIT1_1,Line,Loading,0,0,0,0,0,0,0,0,0,0,0,1.626112788,0.783061399,0.776693099,0.752230523
GRNA3A_GRNAT1_1,Line,Loading,0,0,0,0,0,0,0,0,0,0,0.000749037,0.000736632,0.000746854,0.000745741,0.239869872
CHAP3-_MIBI3-_1,Line,Loading,0,0,0,0,0,7.506782564,2.403659519,53.31730102,115.3494836,80.24419752,60.85263655,39.98234135,39.12424437,39.50278708,25.53944714
CHAP3-_CHAPX3_1,Line,Loading,0,0,0,0,0,0,0,0,0,0,9.051096691,4.848791655,4.802162204,4.807701382,24.63691086
MIBI3-_LAHO3A_1,Line,Loading,0,0,0,0,0,0,0,0,145.1339208,99.19644196,62.15850221,62.9265791,61.95934753,62.03921384,38.47451816
LAHO3B_NEWCT1_1,Line,Loading,0,0,0,0,0,0,0,0,0,0,9.050733709,4.569313405,4.506157,4.512718354,4.558207771
CARU3A_CHAPX1_1,Line,Loading,0,0,0,0,0,0,0,0,0,0,0,0.383561979,0.389112287,0.388777393,0.390819803
ANANT1_CHAP3-_1,Line,Loading,0,0,0,0,0,0,58.36444418,43.4894089,29.06758476,29.15153423,28.99077088,29.61240668,29.20801732,29.25172204,29.26959004
ANANT2_CHAP3-_1,Line,Loading,0,0,0,0,0,0,58.37234167,43.49173377,29.06792415,29.15188235,28.99110248,29.61277119,29.20837145,29.25208089,28.9865171
EWHC3-_MIBI3-_1,Line,Loading,0,0,0,0,0,11.22003105,5.224464657,7.267743757,18.72061478,18.30956688,10.8552947,26.72065709,25.93318645,26.47450334,23.84670633
CRAG5A_LAHO5-_1,Line,Loading,0,0,0,0,0,0,0,0,0.547885605,0.601314583,0.606230145,0.598819345,0.60027127,0.599497345,0.598645278
CHAPX1_LOBI3A_1,Line,Loading,0,0,0,0,0,0,0,0,0,0,0,65.95560758,64.05147617,55.01942228,44.57773379
CHAPX4_LOBI3A_1,Line,Loading,0,0,0,0,0,0,0,0,0,0,0,0,71.81929673,52.45908072,31.33519533
CHAP3-_GRNA3B_1,Line,Loading,0,0,0,0,0,0,0,0,0,61.20091389,44.80471165,30.09928791,29.67502487,29.72118683,19.85536583
CHAP3-_MINS3-_1,Line,Loading,0,0,0,0,3.076548534,4.674150238,14.92456364,13.66464017,36.87856842,37.65530037,36.30143724,53.26559278,49.1208564,49.45331032,48.59188822
CHAP3-_STCR3-_1,Line,Loading,0,0,3.24078883,3.24078883,3.791542391,3.497428423,16.80417164,19.78240405,14.31204371,19.16313581,15.64654567,26.12479356,20.91617347,22.68740858,19.54958245
LOBI3B_LOBIT2_1,Line,Loading,0,0,0,0,0,0,0,0,0,0,0,1.636489813,0.762258708,0.777249997,0.812025901
lne_CHAP1-_HAKB1-_1,Line,Active Power,22.99980751,22.99980751,22.99980751,22.99980751,22.99980751,22.99980751,22.99980751,22.99980751,22.99980751,22.99980751,22.99980751,22.99980751,22.99980751,22.99980751,22.99980751
CRAG5B_LAHO5-_1,Line,Active Power,0,0,0,0,0,0,0,0,1.85E-08,2.22E-08,2.26E-08,2.21E-08,2.22E-08,2.21E-08,2.20E-08
lne_CHAP1-_DUMF1-_1,Line,Active Power,-25.6587666,-25.6587666,-25.6587666,-25.6587666,-25.6587666,-25.6587666,-25.6587666,-25.6587666,-25.6587666,-25.6587666,-25.6587666,-25.6587666,-25.6587666,-25.6587666,-25.6587666
LOBI3B_MOFTT2_1,Line,Active Power,0,0,0,0,0,0,0,0,0,0,0,0,0,4.585613818,2.455208117
CHAPX3_LAHO3B_1,Line,Active Power,0,0,0,0,0,0,0,0,0,0,2.202937253,1.095843737,1.095708452,1.095699868,3.52299031
CHAP3-_CHAPX1_1,Line,Active Power,0,0,0,0,0,0,0,0,0,0,0,15.59012385,15.64072422,13.45073846,10.98650265
CHAP3-_LOBI3B_1,Line,Active Power,0,0,0,0,0,0,0,0,0,0,0,15.60893863,7.544501872,12.43778515,10.27956725
CHAPX4_KIBAT1_1,Line,Active Power,0,0,0,0,0,0,0,0,0,0,0,0,2.769616817,2.067563855,1.372340246
CHAPX4_MOFTT1_1,Line,Active Power,0,0,0,0,0,0,0,0,0,0,0,0,4.40555359,3.276686602,1.935249318
MIBI3-_MIBIT1_1,Line,Active Power,0,0,0,0,0,0,0,10.49139937,7.858319211,5.231872926,5.23193465,5.231873045,5.231848706,5.231878955,5.231724744
LAHO3A_LAHOT1_1,Line,Active Power,0,0,0,0,0,0,0,0,12.78197258,9.559075574,6.363965257,6.364317285,6.364246535,6.364284138,3.942898018
GRNA3B_GRNAT2_1,Line,Active Power,0,0,0,0,0,0,0,0,0,14.39388634,10.77612012,7.172122246,7.172048734,7.17211315,4.83745917
LAHO3B_LAHOT2_1,Line,Active Power,0,0,0,0,0,0,0,0,0,0,2.21E-08,2.17E-08,2.20E-08,2.20E-08,2.41125451
LOBI3A_LOBIT1_1,Line,Active Power,0,0,0,0,0,0,0,0,0,0,0,14.76087804,7.353180545,7.353457269,7.237213689
GRNA3A_GRNAT1_1,Line,Active Power,0,0,0,0,0,0,0,0,0,0,0.007481031,0.007235301,0.007437489,0.007415337,2.329812599
CHAP3-_MIBI3-_1,Line,Active Power,0,0,0,0,0,0.510771776,0.501473543,11.16137924,24.07939548,16.68794748,12.71147154,7.644755848,7.625211931,7.63011213,4.905841121
CHAP3-_CHAPX3_1,Line,Active Power,0,0,0,0,0,0,0,0,0,0,-2.210458054,-1.103117502,-1.103185479,-1.103154625,-5.86629667
MIBI3-_LAHO3A_1,Line,Active Power,0,0,0,0,0,0,0,0,14.91274194,10.55445986,6.754805864,6.764876606,6.752586662,6.75362606,4.092640489
LAHO3B_NEWCT1_1,Line,Active Power,0,0,0,0,0,0,0,0,0,0,2.196320638,1.094157306,1.094068316,1.094054863,1.094137102
CARU3A_CHAPX1_1,Line,Active Power,0,0,0,0,0,0,0,0,0,0,0,-1.06E-08,-1.09E-08,-1.09E-08,-1.10E-08
ANANT1_CHAP3-_1,Line,Active Power,0,0,0,0,0,0,12.23479518,9.147755709,6.081983979,6.082163992,6.081820162,6.082841925,6.082285681,6.082380155,6.111707184
ANANT2_CHAP3-_1,Line,Active Power,0,0,0,0,0,0,12.23523438,9.147982853,6.082079322,6.082259967,6.081914928,6.082938427,6.082382083,6.082476888,6.052615801
EWHC3-_MIBI3-_1,Line,Active Power,0,0,0,0,0,0.507443786,0.501132324,0.502095928,0.522548598,0.521337651,0.506039654,-4.446401915,-4.449622681,-4.447549889,-4.457044968
CRAG5A_LAHO5-_1,Line,Active Power,0,0,0,0,0,0,0,0,-1.85E-08,-2.22E-08,-2.26E-08,-2.20E-08,-2.22E-08,-2.21E-08,-2.20E-08
CHAPX1_LOBI3A_1,Line,Active Power,0,0,0,0,0,0,0,0,0,0,0,15.53905177,15.59250047,13.41514993,10.96309519
CHAPX4_LOBI3A_1,Line,Active Power,0,0,0,0,0,0,0,0,0,0,0,0,-7.175170416,-5.344250466,-3.307589574
CHAP3-_GRNA3B_1,Line,Active Power,0,0,0,0,0,0,0,0,0,14.91664527,11.05632036,7.298601907,7.294988237,7.295435206,4.892486242
CHAP3-_MINS3-_1,Line,Active Power,0,0,0,0,0.500250416,0.500593118,0.516785191,0.513529104,-14.35395515,-14.34899917,-14.35728756,-19.19764204,-19.23784843,-19.23496689,-19.24219105
CHAP3-_STCR3-_1,Line,Active Power,0,0,-1.14E-08,-1.14E-08,-0.500250428,-1.011364905,-25.4882883,-29.97064692,-21.88950365,-29.42001755,-23.8010832,-40.2181512,-32.13980535,-34.85150147,-29.97464936
LOBI3B_LOBIT2_1,Line,Active Power,0,0,0,0,0,0,0,0,0,0,0,14.78865588,7.366550433,7.366863666,7.486482993
lne_CHAP1-_HAKB1-_1,Line,Reactive Power,-33.30113008,-33.30113008,-33.30113008,-33.30113008,-33.30113008,-33.30113008,-33.30113008,-33.30113008,-33.30113008,-33.30113008,-33.30113008,-33.30113008,-33.30113008,-33.30113008,-33.30113008
CRAG5B_LAHO5-_1,Line,Reactive Power,0,0,0,0,0,0,0,0,2.62E-15,3.89E-14,-5.15E-14,3.17E-14,2.12E-14,-1.53E-14,1.56E-14
lne_CHAP1-_DUMF1-_1,Line,Reactive Power,13.70408602,13.70408602,13.70408602,13.70408602,13.70408602,13.70408602,13.70408602,13.70408602,13.70408602,13.70408602,13.70408602,13.70408602,13.70408602,13.70408602,13.70408602
LOBI3B_MOFTT2_1,Line,Reactive Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0700908,-0.539408148
CHAPX3_LAHO3B_1,Line,Reactive Power,0,0,0,0,0,0,0,0,0,0,0.122853291,-0.005679427,-0.008312738,-0.008479278,-0.497684442
CHAP3-_CHAPX1_1,Line,Reactive Power,0,0,0,0,0,0,0,0,0,0,0,3.495334066,1.753543195,1.155081621,-0.416690135
CHAP3-_LOBI3B_1,Line,Reactive Power,0,0,0,0,0,0,0,0,0,0,0,3.884813,0.872275276,1.486432615,2.101038348
CHAPX4_KIBAT1_1,Line,Reactive Power,0,0,0,0,0,0,0,0,0,0,0,0,-0.318011774,-0.313672214,-0.289072761
CHAPX4_MOFTT1_1,Line,Reactive Power,0,0,0,0,0,0,0,0,0,0,0,0,0.218386861,0.084958827,0.344362
MIBI3-_MIBIT1_1,Line,Reactive Power,0,0,0,0,0,0,0,0.148714466,-0.09283659,-0.201859192,-0.200626837,-0.201856806,-0.202343754,-0.201739467,-0.204820135
LAHO3A_LAHOT1_1,Line,Reactive Power,0,0,0,0,0,0,0,0,2.992678067,1.56693834,0.775121606,0.788425326,0.785786052,0.787190853,1.089196012
GRNA3B_GRNAT2_1,Line,Reactive Power,0,0,0,0,0,0,0,0,0,1.271617348,0.4940098,0.014962029,0.012796992,0.014693234,0.107801407
LAHO3B_LAHOT2_1,Line,Reactive Power,0,0,0,0,0,0,0,0,0,0,2.98E-14,5.50E-15,-4.85E-15,2.14E-14,-0.521295636
LOBI3A_LOBIT1_1,Line,Reactive Power,0,0,0,0,0,0,0,0,0,0,0,2.135680251,0.523145048,0.528672988,-0.887531643
GRNA3A_GRNAT1_1,Line,Reactive Power,0,0,0,0,0,0,0,0,0,0,1.07E-10,1.49E-10,1.34E-10,1.14E-10,-0.356799055
CHAP3-_MIBI3-_1,Line,Reactive Power,0,0,0,0,0,1.511937961,0.060427922,-1.145170515,1.654822051,-1.352897445,-1.183977879,-3.002458762,-2.870192114,-3.04200311,-2.091352531
CHAP3-_CHAPX3_1,Line,Reactive Power,0,0,0,0,0,0,0,0,0,0,0.043375932,0.166448504,0.173574455,0.173248759,0.991225832
MIBI3-_LAHO3A_1,Line,Reactive Power,0,0,0,0,0,0,0,0,4.520408738,2.280614405,1.055348635,1.075620533,1.064220274,1.066343348,1.196559181
LAHO3B_NEWCT1_1,Line,Reactive Power,0,0,0,0,0,0,0,0,0,0,0.140534644,0.02032228,0.018592447,0.018327333,0.019934432
CARU3A_CHAPX1_1,Line,Reactive Power,0,0,0,0,0,0,0,0,0,0,0,-1.42E-14,9.06E-16,-1.95E-14,-5.88E-15
ANANT1_CHAP3-_1,Line,Reactive Power,0,0,0,0,0,0,0.850002002,0.26808397,-0.053429343,-0.050695261,-0.055924314,-0.046384535,-0.048851394,-0.047422288,-0.051283235
ANANT2_CHAP3-_1,Line,Reactive Power,0,0,0,0,0,0,0.867346913,0.276731489,-0.050584561,-0.047813277,-0.053113573,-0.043456563,-0.04594438,-0.044495908,-0.048800703
EWHC3-_MIBI3-_1,Line,Reactive Power,0,0,0,0,0,1.506242735,0.059844007,-1.581187622,-4.117478607,-4.082427236,-2.41294993,-4.037784685,-3.886770385,-4.064316826,-3.149012957
CRAG5A_LAHO5-_1,Line,Reactive Power,0,0,0,0,0,0,0,0,1.12E-12,1.12E-12,-3.93E-14,2.18E-12,-2.07E-12,2.73E-13,-9.20E-13
CHAPX1_LOBI3A_1,Line,Reactive Power,0,0,0,0,0,0,0,0,0,0,0,3.498543335,1.764440401,1.187939474,-0.361500238
CHAPX4_LOBI3A_1,Line,Reactive Power,0,0,0,0,0,0,0,0,0,0,0,0,0.099624913,0.228713387,-0.055289239
CHAP3-_GRNA3B_1,Line,Reactive Power,0,0,0,0,0,0,0,0,0,2.174787782,0.953997008,0.196436151,0.186438047,0.189183463,0.157148473
CHAP3-_MINS3-_1,Line,Reactive Power,0,0,0,0,-0.866209479,-1.838508871,-5.991607099,-5.490044749,-3.59364664,-4.590809956,-2.671164175,-8.466203788,-3.828445856,-4.340475156,-2.88162651
CHAP3-_STCR3-_1,Line,Reactive Power,0,0,3.86E-15,3.86E-15,0.866209479,0.32657091,4.213830262,6.090399804,2.042838492,3.867428157,3.270783343,4.3773354,4.390483263,5.051936473,4.251250695
LOBI3B_LOBIT2_1,Line,Reactive Power,0,0,0,0,0,0,0,0,0,0,0,2.525652454,0.634633678,0.642876855,2.124117265
CHAPX4,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0,0,0,0.901162655,0.920951437,0.952268211
MOFTT2,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0,0,0,0,0.892189653,0.932081572
LAHO3A,Busbar,Voltage,0,0,0,0,0,0,0,0,0.815616869,0.880533824,0.930022392,0.918953112,0.933241291,0.932070347,0.95869283
KIBAT1,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0,0,0,0.889962831,0.913071007,0.947487104
NEWCT1,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0,0.989255629,0.977958743,0.991669631,0.990180206,0.980332971
GRNA3B,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0.958419787,0.977331798,0.967252421,0.981070574,0.979556102,0.989224008
CHAPX1,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0,0,0.980495849,0.99468405,0.993827964,0.999048956
LOBI3B,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0,0,0.917683303,0.970961503,0.95236588,0.959301409
CHAP3A2,Busbar,Voltage,0,0,0,1.018681815,1.02185393,1.019138088,1.007374962,1.008809929,1.003087368,1.000224468,1.005721767,0.984761659,0.998307708,0.996829775,1.00102948
CHAP3A1,Busbar,Voltage,0,0,0,1.018681815,1.02185393,1.019138088,1.007374962,1.008809929,1.003087368,1.000224468,1.005721767,0.984761659,0.998307708,0.996829775,1.00102948
ANAN5-1,Busbar,Voltage,0,0,0,0,0,0,1.003369459,1.0101322,1.007948946,1.005038896,1.010626469,1.00145349,1.003090398,1.0015879,1.005853311
ANAN5-2,Busbar,Voltage,0,0,0,0,0,0,1.003226075,1.010074831,1.007941496,1.005031057,1.010619371,1.001445146,1.003082297,1.001579594,1.005853311
LOBI5-1,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0,0,1.0022996,1.012565644,1.007256349,1.003099166
GRNAT2,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0.95841846,0.977331293,0.967252406,0.981070561,0.979556087,0.989223899
STCR3-,Busbar,Voltage,0,0,1.015553374,1.015553374,1.017982865,1.016205984,1.014635084,1.016646793,1.010741649,1.010470926,1.013069434,1.001705628,1.009697,1.009202176,1.011158928
ANANT2,Busbar,Voltage,0,0,0,0,0,0,1.000657648,1.004104841,1.000137145,0.997263399,1.002781452,0.981750435,0.995339331,0.993855736,0.998086166
LOBIT2,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0,0,0.917680551,0.970960849,0.952365205,0.959299195
MOFTT1,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0,0,0,0.878380384,0.904788311,0.941096028
LOBI3A,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0,0,0.918110286,0.942345809,0.950158734,0.970278455
LAHOT1,Busbar,Voltage,0,0,0,0,0,0,0,0,0.815616865,0.880533822,0.930022391,0.918953111,0.93324129,0.932070346,0.958692829
MIBIT1,Busbar,Voltage,0,0,0,0,0,0,0,0.996802586,0.968156003,0.981561856,0.991785506,0.981557636,0.994854471,0.993771053,0.999331851
GRNA3A,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0,0.999753608,0.983197015,0.996839922,0.995354256,0.98358943
CHAPX3,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0,0.999232071,0.982684115,0.996319905,0.994835014,0.987063845
NEWC5-,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0,1.000827207,0.991201502,0.990017361,1.003632391,0.993616469
LAHO3B,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0,0.995905817,0.981152898,0.994815414,0.993328843,0.983518191
MIBI3-,Busbar,Voltage,0,0,0,0,0,1.015012556,1.006560596,0.996802736,0.968155907,0.98156165,0.991785303,0.98155743,0.994854268,0.99377085,0.999331646
GRNAT1,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0,0.999753608,0.983197015,0.996839922,0.995354256,0.983589793
LAHOT2,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0,0.995905817,0.981152898,0.994815414,0.993328843,0.983518191
ANANT1,Busbar,Voltage,0,0,0,0,0,0,1.000669077,1.004109656,1.000137859,0.997264148,1.002782135,0.981751235,0.995340102,0.993856526,0.998057521
EWHC0G,Busbar,Voltage,0,0,0,0,0,1,1,1,0.987208021,1,1,1.008089127,1.019999981,1.019999981,1.019999981
MOFT5-2,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990574686,1.002613449
LAHO5-2,Busbar,Voltage,0,0,0,0,0,0,0,0,0.91599511,1.005321572,1.013539768,1.001149852,1.003577286,1.002283382,1.000858834
CRAG5A,Busbar,Voltage,0,0,0,0,0,0,0,0,0.915995873,1.005322408,1.013540612,1.001150685,1.003578121,1.002284216,1.000859666
CRAG5B,Busbar,Voltage,0,0,0,0,0,0,0,0,0.91599511,1.005321572,1.013539768,1.001149852,1.003577286,1.002283382,1.000858833
GRNA1-,Busbar,Voltage,1.012751437,1.012751437,1.012751437,1.012751437,1.012751437,1.012751437,1.012751437,1.012751437,1.012751437,1.012751437,1.012751437,1.012751437,1.012751437,1.012751437,1.012751437
EWHC3-,Busbar,Voltage,0,0,0,0,0,1.011734202,1.0051276,0.997495097,0.972275652,0.985562272,0.993568317,0.992516412,1.00545807,1.004615175,1.008940844
MIBI5-,Busbar,Voltage,0,0,0,0,0,0,0,0.995608124,0.993112039,0.994778851,0.992573205,0.994774569,0.995648375,0.99456278,1.000134596
CRAG0A,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRNA5-1,Busbar,Voltage,0,0,0,0,0,0,0,0,0,1.006207627,1.005533827,1.010685413,1.012482778,1.010907061,1.006597412
GRNA5-2,Busbar,Voltage,0,0,0,0,0,0,0,0,0,1.006207627,1.005533827,1.010685413,1.012482778,1.010907061,1.006597412
MOFT5-1,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0,0,0,1.002106587,0.99282017,1.002613449
MINS3-,Busbar,Voltage,0,0,0,0,1.02130331,1.020218199,1.01551625,1.016090012,1.016870047,1.015735457,1.017913962,1.010540371,1.015896323,1.015312093,1.016972162
MINS0G,Busbar,Voltage,0,0,0,0,1.019999981,1.019999981,1.019999981,1.019999981,1.019999981,1.019999981,1.019999981,1.019999981,1.019999981,1.019999981,1.019999981
CHAP1-,Busbar,Voltage,1.01552843,1.01552843,1.01552843,1.01552843,1.01552843,1.01552843,1.01552843,1.01552843,1.01552843,1.01552843,1.01552843,1.01552843,1.01552843,1.01552843,1.01552843
ECCF1K,Busbar,Voltage,1.015463748,1.015463748,1.015463748,1.015463748,1.015463748,1.015463748,1.015463748,1.015463748,1.015463748,1.015463748,1.015463748,1.015463748,1.015463748,1.015463748,1.015463748
HAKB1-,Busbar,Voltage,1.023384905,1.023384905,1.023384905,1.023384905,1.023384905,1.023384905,1.023384905,1.023384905,1.023384905,1.023384905,1.023384905,1.023384905,1.023384905,1.023384905,1.023384905
CHAP1A-,Busbar,Voltage,,,,,,,,,,,,,,,
ECCF1J,Busbar,Voltage,1.015448738,1.015448738,1.015448738,1.015448738,1.015448738,1.015448738,1.015448738,1.015448738,1.015448738,1.015448738,1.015448738,1.015448738,1.015448738,1.015448738,1.015448738
LOBI5-2,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0,0,1.013617582,1.019784117,1.012921537,1.003099166
LAHO5-1,Busbar,Voltage,0,0,0,0,0,0,0,0,0.91599511,1.005321572,1.013539768,1.001149852,1.003577286,1.002283382,1.000858834
STCR5-,Busbar,Voltage,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
LOBIT1,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0,0,0.91810796,0.942345254,0.950158178,0.97027937
